unix_time,cmd_rpm,measured_rpm,i_dc_mv
1785368482.678,1600,1622,1833
1785368482.678,1600,1625,1833
1785368482.880,1600,1623,1833
1785368482.880,1600,1619,1833
1785368483.084,1600,1610,1833
1785368483.084,1600,1605,1833
1785368483.286,1600,1623,1833
1785368483.286,1600,1635,1833
1785368483.489,1600,1639,1834
1785368483.489,1600,1618,1833
1785368483.692,1600,1609,1833
1785368483.692,1600,1605,1833
1785368483.894,1600,1605,1833
1785368483.894,1600,1604,1833
1785368484.094,1600,1603,1833
1785368484.094,1600,1605,1833
1785368484.297,1600,1605,1832
1785368484.298,1600,1603,1832
1785368484.502,1600,1604,1833
1785368484.502,1600,1606,1833
1785368484.707,1600,1602,1832
1785368484.707,1600,1604,1832
1785368484.911,1600,1606,1833
1785368484.911,1600,1602,1832
1785368485.113,1600,1604,1833
1785368485.114,1600,1604,1833
1785368485.317,1600,1604,1832
1785368485.317,1600,1602,1833
1785368485.522,1600,1605,1833
1785368485.522,1600,1603,1833
1785368485.726,1600,1605,1832
1785368485.726,1600,1604,1833
1785368485.929,1600,1603,1832
1785368485.929,1600,1605,1833
1785368486.134,1600,1602,1832
1785368486.134,1600,1593,1832
1785368486.337,1600,1585,1832
1785368486.337,1600,1590,1832
1785368486.552,1600,1598,1833
1785368486.552,1600,1601,1832
1785368486.552,1600,1614,1833
1785368486.753,1600,1618,1833
1785368486.753,1600,1620,1833
1785368486.956,1600,1607,1833
1785368486.956,1600,1604,1833
1785368487.159,1600,1603,1833
1785368487.159,1600,1602,1833
1785368487.362,1600,1602,1832
1785368487.362,1600,1595,1832
1785368487.566,1600,1586,1832
1785368487.566,1600,1586,1832
1785368487.767,1600,1584,1832
1785368487.767,1600,1584,1832
1785368487.971,1600,1587,1832
1785368487.971,1600,1585,1832
1785368488.174,1600,1588,1832
1785368488.174,1600,1597,1832
1785368488.376,1600,1603,1832
1785368488.376,1600,1590,1832
1785368488.580,1600,1574,1832
1785368488.580,1600,1569,1832
1785368488.781,1600,1600,1832
1785368488.781,1600,1615,1833
1785368488.984,1600,1627,1833
